"ano";"turno";"tipo_eleicao";"sigla_uf";"id_municipio";"id_municipio_tse";"cargo";"sigla_partido";"numero_candidato";"sequencial_candidato";"id_candidato_bd";"resultado";"votos"
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PODE";19300;10000600786;768702;"suplente";5706
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PODE";19000;10000600787;123757;"suplente";93
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PODE";19555;10000600788;1625715;"suplente";27
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PODE";19123;10000600791;648634;"suplente";128
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PODE";19789;10000600794;466616;"suplente";1
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PODE";19999;10000600795;1103258;"suplente";26
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PODE";19777;10000600796;767941;"suplente";207
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PODE";19888;10000600798;797778;"suplente";0
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PODE";19333;10000600799;1166300;"suplente";32
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PODE";19100;10000600800;1178478;"suplente";4653
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PODE";19234;10000600801;1404715;"suplente";496
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PODE";19567;10000600802;543828;"suplente";229
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PP";11777;10000610650;1399737;"suplente";166
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PP";11222;10000610651;1705321;"suplente";903
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PP";11111;10000610652;1052631;"eleito por qp";8479
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PP";11288;10000610653;1415979;"suplente";125
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PP";11190;10000610654;1476612;"suplente";75
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PP";11567;10000610655;1505583;"suplente";91
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PP";11003;10000610656;640824;"suplente";53
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PP";11555;10000610657;1174770;"suplente";87
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PP";11122;10000610659;1582737;"eleito por qp";7509
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PP";11000;10000610660;1054415;"suplente";2473
