sigla_uf;nome_regiao;codigo_regiao;nome_uf;codigo_uf;latitude;longitude;ano;homicidios;tx_homicidios
MS;Centro-Oeste;5;Mato Grosso do Sul;50;-20,51;-54,54;2020;467;16,6
MT;Centro-Oeste;5;Mato Grosso;51;-12,64;-55,42;2020;810;23
PA;Norte;1;Pará;15;-3,79;-52,48;2020;2176;25
PB;Nordeste;2;Paraíba;25;-7,28;-36,72;2020;1132;28
PE;Nordeste;2;Pernambuco;26;-8,38;-37,86;2020;3543;36,8
PI;Nordeste;2;Piauí;22;-6,6;-42,28;2020;660;20,1
PR;Sul;4;Paraná;41;-24,89;-51,55;2020;2008;17,4
RJ;Sudeste;3;Rio de Janeiro;33;-22,25;-42,66;2020;3544;20,4
RN;Nordeste;2;Rio Grande do Norte;24;-5,81;-36,59;2020;1224;34,6
RO;Norte;1;Rondônia;11;-10,83;-63,34;2020;379;21,1
RR;Norte;1;Roraima;14;1,99;-61,33;2020;147;23,3
RS;Sul;4;Rio Grande do Sul;43;-30,17;-53,5;2020;1780;15,6
SC;Sul;4;Santa Catarina;42;-27,45;-50,95;2020;689;9,5
SE;Nordeste;2;Sergipe;28;-10,57;-37,45;2020;761;32,8
SP;Sudeste;3;São Paulo;35;-22,19;-48,79;2020;3038;6,6
TO;Norte;1;Tocantins;17;-9,46;-48,26;2020;403;25,3
BR;Todas;0;Todas;0;;;2020;42105;19,9
